Time elapsed (s),Time elapsed (min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,,Heat Balance (%)
3758482557,0.951133331,23.596,18.34,22.409,20.446,12.309,20.462,149.992,0.012,395.955,24.71,14.29,0,0,0,0,0,0,99.045,0.001,0,240.633,7.577,131.988,10.583,120.967,5.129,5.422,25.493,261.019,30.335,4.836,1778.365,23.85,20.828,18.01,-21.986,30.475,14.326,9.198,0,0,3.603,0.224,3.448,15.627,11.679,0.011,0.009,13.83,13.825,13.777,14.586,14.614,14.39,13.727,13.774,13.652,14.463,14.206,14.119,12.862,13.304,13.175,13.888,23.027,3723,2178,4.396539498
3758482560,0.990316661,23.583,18.341,22.409,20.433,12.297,20.464,148.245,0.01,395.931,24.7,14.289,0,0,0,0,0,0,99.045,0.001,0,240.417,7.595,131.893,10.564,120.945,5.123,5.409,25.485,260.96,30.327,4.836,1778.135,23.827,20.897,18.025,-21.985,30.44,14.341,9.218,0,0,3.599,0.203,3.426,15.636,11.696,0.011,0.009,13.847,13.824,13.755,14.592,14.619,14.374,13.728,13.77,13.663,14.463,14.197,14.118,12.855,13.294,13.187,13.899,23.019,3723,2178,4.925266904
3758482562,1.028066667,23.576,18.361,22.408,20.444,12.299,20.461,166.808,0.01,395.907,24.708,14.288,0,0,0,0,0,0,99.044,0.001,0,240.308,7.592,131.972,10.576,120.934,5.12,5.424,25.48,260.829,30.308,4.822,1778.561,23.864,20.86,18.018,-21.986,30.437,14.318,9.197,0,0,3.598,0.203,3.452,15.675,11.665,0.011,0.009,13.852,13.806,13.748,14.597,14.624,14.363,13.729,13.757,13.652,14.461,14.209,14.098,12.832,13.285,13.186,13.886,23.022,3723,2178,4.141843972
3758482564,1.063966664,23.583,18.346,22.409,20.458,12.299,20.462,158.718,0.012,395.899,24.735,14.29,0,0,0,0,0,0,99.052,0.001,0,240.399,7.594,131.958,10.596,120.871,5.105,5.46,25.493,260.995,30.332,4.833,1777.894,23.845,20.886,18.018,-21.985,30.475,14.325,9.22,0,0,3.6,0.226,3.44,15.645,11.702,0.011,0.009,13.844,13.802,13.747,14.61,14.632,14.386,13.741,13.759,13.664,14.475,14.218,14.103,12.846,13.304,13.179,13.892,23.014,3723,2178,4.545454545
3758482566,1.094433331,23.562,18.336,22.407,20.436,12.299,20.462,171.612,0.011,395.939,24.696,14.29,0,0,0,0,0,0,99.045,0.001,0,240.256,7.588,131.965,10.615,120.804,5.089,5.494,25.486,261.058,30.341,4.849,1777.469,23.822,20.885,18.031,-21.987,30.461,14.337,9.247,0,0,3.599,0.214,3.418,15.64,11.694,0.011,0.009,13.845,13.815,13.746,14.622,14.631,14.384,13.749,13.756,13.667,14.476,14.23,14.111,12.858,13.305,13.185,13.889,23.012,3723,2178,5.158899815
3758482568,1.124483331,23.567,18.355,22.409,20.431,12.297,20.462,153.854,0.013,395.931,24.709,14.289,0,0,0,0,0,0,99.048,0.001,0,240.637,7.599,131.94,10.629,120.944,5.123,5.474,25.486,260.975,30.329,4.837,1777.992,23.836,20.929,18.025,-21.985,30.456,14.311,9.188,0,0,3.604,0.233,3.431,15.668,11.707,0.011,0.009,13.827,13.814,13.744,14.619,14.652,14.378,13.755,13.763,13.684,14.48,14.221,14.118,12.863,13.307,13.199,13.882,23.012,3723,2178,4.918265814
3758482570,1.161599994,23.568,18.362,22.409,20.431,12.307,20.463,166.484,0.01,395.923,24.716,14.288,0,0,0,0,0,0,99.045,0.001,0,240.513,7.597,131.986,10.623,120.965,5.128,5.464,25.498,261.096,30.346,4.842,1777.489,23.825,20.897,18.017,-21.986,30.458,14.312,9.184,0,0,3.602,0.21,3.428,15.68,11.695,0.012,0.009,13.832,13.818,13.758,14.605,14.597,14.382,13.739,13.756,13.674,14.463,14.198,14.085,12.85,13.297,13.196,13.879,23.02,3723,2178,4.950213371
3758482572,1.192449999,23.565,18.346,22.409,20.433,12.274,20.463,121.714,0.012,395.899,24.722,14.29,0,0,0,0,0,0,99.048,0.001,0,240.323,7.597,131.981,10.609,120.991,5.134,5.443,25.511,261.139,30.352,4.835,1778.48,23.863,20.858,18.013,-21.987,30.44,14.316,9.182,0,0,3.598,0.227,3.455,15.655,11.653,0.011,0.009,13.826,13.832,13.784,14.588,14.59,14.344,13.737,13.77,13.671,14.46,14.166,14.08,12.857,13.303,13.202,13.88,23.005,3723,2178,4.055012052
3758482573,1.216133332,23.584,18.359,22.409,20.429,12.303,20.463,121.716,0.006,395.931,24.754,14.289,0,0,0,0,0,0,99.044,0.001,0,240.34,7.596,131.981,10.636,121.009,5.139,5.466,25.503,261.065,30.342,4.833,1778.573,23.858,20.858,18.013,-21.986,30.429,14.327,9.188,0,0,3.599,0.168,3.452,15.666,11.613,0.011,0.009,13.84,13.855,13.8,14.603,14.615,14.358,13.752,13.766,13.69,14.478,14.178,14.082,12.853,13.306,13.207,13.874,23.005,3723,2178,4.16962133
3758482575,1.252333331,23.564,18.358,22.409,20.442,12.283,20.463,146.093,0.012,395.915,24.721,14.289,0,0,0,0,0,0,99.046,0.001,0,240.31,7.571,131.975,10.617,120.877,5.107,5.479,25.49,260.962,30.327,4.831,1777.998,23.839,20.813,18.047,-21.985,30.429,14.328,9.221,0,0,3.599,0.167,3.42,15.676,11.658,0.012,0.009,13.845,13.837,13.794,14.589,14.596,14.364,13.741,13.759,13.664,14.477,14.178,14.075,12.857,13.295,13.208,13.884,23.007,3723,2178,5.100441658
