Time elapsed (s),Time Elapsed (min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,Compresssor speed (RPM),
3757865467,0.972483333,20.457,17.294,19.128,20.189,12.427,18.49,144.135,0.008,398.243,22.457,14.373,0,0,0,0,0,0,98.475,0.001,0,241.689,9.487,140.452,12.307,130.706,7.433,4.842,24.361,243.735,27.849,3.482,1060.49,29.888,20.68,19.766,-22.381,31.98,17.016,9.583,0,0,3.656,0.295,3.562,15.6,6.189,0.011,0.006,16.177,16.13,16.343,17.128,17.012,17.001,15.337,15.627,15.522,17.023,16.923,16.756,14.489,14.769,14.347,16.058,20.155,3412,1769
3757865470,1.010300001,20.441,17.284,19.13,20.175,12.438,18.491,146.321,0.009,398.251,22.444,14.373,0,0,0,0,0,0,98.473,0.001,0,241.693,9.484,140.403,12.297,130.645,7.419,4.845,24.358,243.621,27.832,3.468,1059.706,29.878,20.717,19.746,-22.38,31.98,17.041,9.622,0,0,3.656,0.312,3.563,15.592,6.229,0.011,0.006,16.174,16.128,16.344,17.137,17.037,17.042,15.368,15.61,15.516,17.038,16.887,16.743,14.483,14.763,14.353,16.056,20.176,3412,1769
3757865471,1.042,20.445,17.286,19.129,20.172,12.454,18.491,161.051,0.009,398.243,22.479,14.373,0,0,0,0,0,0,98.472,0.001,0,241.765,9.498,140.386,12.318,130.641,7.418,4.867,24.342,243.677,27.841,3.493,1060.498,29.898,20.724,19.763,-22.381,31.979,17.076,9.658,0,0,3.658,0.316,3.567,15.594,6.27,0.011,0.006,16.173,16.114,16.313,17.14,17.011,17.044,15.358,15.598,15.513,17.037,16.898,16.738,14.499,14.758,14.352,16.059,20.174,3412,1769
3757865474,1.078216672,20.462,17.288,19.13,20.217,12.443,18.491,152.489,0.011,398.243,22.453,14.374,0,0,0,0,0,0,98.471,0.001,0,241.699,9.475,140.451,12.332,130.575,7.403,4.897,24.395,243.674,27.84,3.439,1059.765,29.896,20.763,19.749,-22.382,32.024,17.075,9.672,0,0,3.656,0.349,3.569,15.587,6.201,0.011,0.006,16.171,16.131,16.341,17.136,17.006,17.012,15.348,15.604,15.526,17.025,16.9,16.728,14.486,14.74,14.366,16.056,20.177,3412,1769
3757865475,1.108216667,20.452,17.293,19.129,20.178,12.465,18.49,145.047,0.01,398.259,22.464,14.374,0,0,0,0,0,0,98.478,0.001,0,241.733,9.472,140.348,12.361,130.635,7.417,4.911,24.356,243.438,27.805,3.443,1060.554,29.888,20.738,19.746,-22.38,31.985,17.074,9.657,0,0,3.658,0.329,3.569,15.602,6.293,0.011,0.006,16.145,16.135,16.33,17.137,16.965,17.022,15.35,15.618,15.545,17.031,16.918,16.708,14.466,14.736,14.358,16.069,20.171,3412,1769
3757865477,1.139466667,20.471,17.284,19.129,20.198,12.474,18.49,154.8,0.009,398.259,22.456,14.373,0,0,0,0,0,0,98.47,0.001,0,241.653,9.468,140.332,12.349,130.694,7.43,4.886,24.363,243.647,27.836,3.467,1060.879,29.874,20.657,19.752,-22.382,32,17.069,9.639,0,0,3.656,0.312,3.564,15.576,6.296,0.011,0.006,16.172,16.178,16.375,17.14,16.948,17.042,15.369,15.652,15.554,17.027,16.914,16.712,14.487,14.744,14.42,16.062,20.158,3412,1769
3757865479,1.170366669,20.458,17.304,19.13,20.207,12.439,18.491,131.442,0.011,398.235,22.429,14.375,0,0,0,0,0,0,98.477,0.001,0,241.698,9.497,140.313,12.358,130.595,7.407,4.918,24.351,243.697,27.844,3.486,1060.682,29.863,20.71,19.767,-22.382,31.99,17.089,9.682,0,0,3.657,0.337,3.554,15.616,6.199,0.011,0.006,16.18,16.18,16.362,17.125,16.937,17.059,15.369,15.662,15.562,17.016,16.898,16.71,14.492,14.755,14.426,16.065,20.158,3412,1769
3757865481,1.200783332,20.447,17.281,19.13,20.182,12.442,18.491,160.101,0.008,398.306,22.475,14.374,0,0,0,0,0,0,98.47,0.001,0,241.622,9.497,140.448,12.343,130.631,7.416,4.894,24.368,243.544,27.821,3.447,1060.837,29.863,20.727,19.76,-22.381,32.01,17.111,9.695,0,0,3.655,0.284,3.557,15.584,6.232,0.011,0.006,16.182,16.176,16.374,17.139,16.946,17.048,15.373,15.683,15.58,17.027,16.856,16.676,14.478,14.756,14.438,16.063,20.156,3412,1769
3757865483,1.231733338,20.456,17.291,19.13,20.182,12.419,18.49,128.687,0.011,398.259,22.493,14.373,0,0,0,0,0,0,98.471,0.001,0,241.688,9.491,140.446,12.35,130.625,7.415,4.903,24.378,243.617,27.832,3.448,1059.738,29.907,20.732,19.758,-22.382,32.033,17.111,9.697,0,0,3.656,0.349,3.569,15.596,6.177,0.011,0.006,16.182,16.187,16.367,17.129,16.914,17.043,15.366,15.689,15.59,17.018,16.881,16.67,14.48,14.751,14.432,16.058,20.166,3412,1769
3757865485,1.269583337,20.46,17.293,19.129,20.188,12.462,18.49,145.104,0.007,398.235,22.473,14.374,0,0,0,0,0,0,98.474,0.001,0,241.358,9.484,140.421,12.369,130.641,7.418,4.918,24.368,243.654,27.837,3.463,1059.74,29.901,20.724,19.768,-22.382,32.005,17.126,9.708,0,0,3.652,0.278,3.564,15.597,6.274,0.011,0.006,16.165,16.193,16.402,17.146,16.914,17.039,15.386,15.698,15.602,17.022,16.886,16.684,14.476,14.751,14.439,16.057,20.181,3412,1769
